地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
西藏,2008,163.5012,0.0,398.2,0.0,163.5012
陕西,2008,2039.0,3.178,7177.8,64.79942,1974.20058
甘肃,2008,1446.34,1.694,3071.7,24.5009996,1421.8390003999998
青海,2008,301.0,3.109,896.9,9.358089999999999,291.64191
宁夏,2008,303.9,3.043,1139.2,9.247677,294.65232299999997
新疆,2008,847.58,3.677,4142.5,31.1655166,816.4144834
北京,2009,998.3,20.751,12900.9,207.15723300000002,791.1427669999999
天津,2009,677.13,7.846,5709.6,53.127619800000005,624.0023802
河北,2009,3792.49,2.244,15306.9,85.1034756,3707.3865244
山西,2009,1600.59,2.459,7147.6,39.3585081,1561.2314918999998
内蒙古,2009,1142.5,2.136,7104.2,24.4038,1118.0962
辽宁,2009,2277.1,4.825,12815.7,109.870075,2167.229925
吉林,2009,1297.3,3.679,5434.8,47.72766699999999,1249.572333
黑龙江,2009,1877.0,2.542,7218.9,47.713339999999995,1829.28666
上海,2009,1064.42,15.943,15742.4,169.70048060000002,894.7195194000001
江苏,2009,4726.54,2.797,34471.7,132.2013238,4594.3386762
浙江,2009,3288.29,4.19,22833.7,137.77935100000002,3150.510649
安徽,2009,3988.0,1.179,10864.7,47.018519999999995,3940.98148
福建,2009,2069.0,3.063,12418.1,63.373470000000005,2005.62653
江西,2009,2445.2,2.383,7630.0,58.269116,2386.930884
山东,2009,5844.7,2.169,29540.8,126.77154300000001,5717.928457
河南,2009,5948.78,1.358,19181.0,80.7844324,5867.9955676
湖北,2009,3622.0,2.539,13192.1,91.96258,3530.03742
湖南,2009,3935.21,2.102,12772.8,82.7181142,3852.4918858
广东,2009,5688.62,2.725,39464.7,155.014895,5533.605105
广西,2009,2862.63,1.471,7112.9,42.109287300000005,2820.5207127000003
海南,2009,424.56,1.702,1620.3,7.2260112,417.3339888
重庆,2009,1513.0,1.736,6651.2,26.265679999999996,1486.73432
四川,2009,4756.62,2.046,14190.6,97.3204452,4659.2995548
贵州,2009,1841.92,1.347,3856.7,24.810662400000002,1817.1093376000001
云南,2009,2684.77,1.002,6574.4,26.901395400000002,2657.8686046
西藏,2009,169.07,0.0,445.7,0.0,169.07
陕西,2009,2060.0,3.282,7997.8,67.6092,1992.3908
甘肃,2009,1488.63,1.877,3268.3,27.9415851,1460.6884149
青海,2009,303.26,4.147,939.7,12.576192200000001,290.6838078
宁夏,2009,328.5,3.141,1266.7,10.318185000000001,318.181815
新疆,2009,866.15,3.152,4237.0,27.301048,838.8489519999999
北京,2010,1067.3,24.257,14964.0,258.894961,808.405039
天津,2010,667.0,11.253,6830.8,75.05751000000001,591.94249
河北,2010,4135.0,2.729,18003.6,112.84415000000001,4022.15585
山西,2010,1802.0,3.76,8903.9,67.7552,1734.2448
内蒙古,2010,1398.0,4.552,8199.9,63.63695999999999,1334.36304
辽宁,2010,2317.5,5.948,13896.3,137.84490000000002,2179.6551
吉林,2010,1563.98,4.648,6410.5,72.6937904,1491.2862096000001
黑龙江,2010,2102.0,3.916,8308.3,82.31432000000001,2019.68568
上海,2010,1090.76,15.676,17915.4,170.9875376,919.7724624
江苏,2010,4724.68,4.852,41383.9,229.24147360000003,4495.4385264
浙江,2010,3352.0,5.028,27399.9,168.53856,3183.46144
安徽,2010,4050.0,2.788,13249.8,112.914,3937.086
福建,2010,2114.0,4.276,15002.5,90.39464,2023.60536
江西,2010,2388.0,2.49,9383.2,59.461200000000005,2328.5388
山东,2010,5940.0,3.496,33922.5,207.66240000000002,5732.3376
河南,2010,5156.0,2.163,22655.0,111.52428,5044.47572
湖北,2010,3375.0,3.569,16226.9,120.45375,3254.54625
湖南,2010,3982.73,2.66,15574.3,105.94061800000001,3876.789382
广东,2010,6051.0,4.27,45944.6,258.37769999999995,5792.6223
广西,2010,2666.0,2.677,8552.4,71.36882,2594.63118
海南,2010,457.65,3.381,2020.5,15.473146499999999,442.1768535
重庆,2010,1551.03,4.246,8065.3,65.8567338,1485.1732662
四川,2010,4677.0,2.561,17224.8,119.77797000000001,4557.22203
贵州,2010,1779.0,2.616,4519.0,46.53864000000001,1732.46136
云南,2010,2794.0,2.628,7735.3,73.42632,2720.57368
