地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数,x,a
湖北,2014,3408.0,6.07,28242.1,206.8656,3201.1344,5035.51907925731,5.608577696852939
湖南,2014,4044.13,5.53,25881.3,223.64038900000003,3820.489611,5892.822275933991,4.392004168477643
广东,2014,6428.0,5.78,68173.0,371.5384,6056.4616,9428.138698477413,7.230801559061655
广西,2014,2795.0,3.26,13587.8,91.117,2703.883,3787.7128634423957,3.5873363398647298
海南,2014,504.1,6.94,3449.0,34.98454,469.11546,760.3170062660821,4.536265757013702
重庆,2014,1632.12,5.77,14623.8,94.173324,1537.9466759999998,2393.260067566203,6.1104098957667805
四川,2014,4638.0,3.88,28891.3,179.9544,4458.0456,6429.362521792438,4.49364923848553
贵州,2014,1820.0,3.79,9173.1,68.97800000000001,1751.022,2515.0740838673246,3.6472484285214004
云南,2014,2859.0,4.62,14041.7,132.0858,2726.9142,4059.311032421781,3.4591338007481376
西藏,2014,176.0,3.0,939.7,5.28,170.72,236.04670182449658,3.9809918661717956
陕西,2014,2101.0,8.41,17402.5,176.6941,1924.3059,3267.2135295479816,5.326404240988691
甘肃,2014,1348.0,6.06,6518.4,81.68879999999999,1266.3112,1991.2524927415673,3.273517559305315
青海,2014,293.0,7.2,1847.7,21.096,271.904,444.47391569507926,4.157049344752934
宁夏,2014,344.0,6.67,2473.9,22.9448,321.0552,515.6571857273677,4.797567198662042
新疆,2014,1265.0,5.97,9264.5,75.5205,1189.4795,1864.4333543597654,4.969070081446473
北京,2015,1164.4,32.815,24779.1,382.09786,782.30214,2257.8641714613614,10.974575137512447
天津,2015,718.0,19.613,10879.5,140.82134,577.17866,1288.1896958753443,8.44557291122191
河北,2015,3927.0,6.539,26398.4,256.78653,3670.21347,5868.609004223619,4.498237994898136
山西,2015,1827.0,9.928,11836.4,181.38456,1645.61544,2919.6833622117733,4.0540012499963245
内蒙古,2015,1351.0,7.899,12949.0,106.71549,1244.28451,2079.791962590313,6.226103491559052
辽宁,2015,2409.89,10.142,20210.3,244.4110438,2165.4789562,3864.9047380858747,5.229184512839846
吉林,2015,1399.0,8.138,10018.0,113.85062,1285.14938,2164.0230158776026,4.6293407817279055
黑龙江,2015,1825.0,8.571,11690.0,156.42075,1668.57925,2846.7639995995896,4.106416970863848
上海,2015,1361.51,26.76,26887.0,364.34007600000007,997.169924,2567.0123283180737,10.474043970648388
江苏,2015,4832.5,10.926,71255.9,527.99895,4304.50105,7847.64313734781,9.07991084111422
浙江,2015,3505.0,12.341,43507.7,432.55205,3072.44795,5810.639745745893,7.487592055909681
安徽,2015,4342.1,5.949,23831.2,258.311529,4083.788471,6396.256414742152,3.7258043541021317
福建,2015,2255.0,9.052,26819.5,204.1226,2050.8774,3549.0331173030145,7.556846925221342
江西,2015,2338.0,5.327,16780.9,124.54526,2213.45474,3388.0957977090134,4.95290009548934
山东,2015,5773.0,6.445,55288.8,372.06985,5400.93015,8608.153096939195,6.422841157374288
河南,2015,5075.0,5.149,37084.1,261.31175,4813.68825,7318.0990174862445,5.067449881641302
湖北,2015,3398.0,7.643,30344.0,259.70914,3138.29086,5203.59443986789,5.83135375953134
湖南,2015,3980.3,6.673,28538.6,265.605419,3714.694581,5966.8981079660125,4.782820065571422
广东,2015,6566.0,7.594,74732.4,498.62204,6067.37796,10044.694223910024,7.4399875530416555
广西,2015,2595.0,5.386,14797.8,139.7667,2455.2333,3766.5969547094423,3.928692179687038
海南,2015,510.76,6.275,3734.2,32.05019,478.70981,758.4916319355594,4.9231920864714995
重庆,2015,1647.41,8.406,16040.5,138.4812846,1508.9287154,2561.6493272626594,6.261786041237987
四川,2015,4652.0,5.005,30342.0,232.8326,4419.1674,6680.720025609487,4.541726024094518
贵州,2015,1842.0,4.159,10541.0,76.60878,1765.39122,2577.5119783848836,4.089602720917396
云南,2015,2823.0,4.968,14960.0,140.24664,2682.75336,4049.779759677686,3.694028042944893
西藏,2015,181.0,4.194,1043.0,7.59114,173.40886,253.5636529813763,4.1133655700906235
陕西,2015,2107.0,7.579,17898.8,159.68953,1947.31047,3222.284885073548,5.554691977395246
甘肃,2015,1346.0,6.594,6556.6,88.75524000000001,1257.24476,2014.0929887748935,3.2553611161658256
青海,2015,292.0,7.97,2011.0,23.2724,268.7276,450.1636645786889,4.467264149100323
宁夏,2015,343.0,8.684,2579.4,29.78612,313.21388,536.1779098690697,4.81071665304128
新疆,2015,1292.0,10.654,9306.9,137.64968000000002,1154.35032,2089.235102478303,4.454692527882536
北京,2016,1187.6,34.355,27041.2,407.99998,779.60002,2315.5659437553945,11.678009029682165
